seed_id,title,doi,pmid,pmcid,bioproject_accession,ena_study_accession,dataset_id,repository,url,notes
usual-01,,10.1038/s42003-024-06136-2,,,,,,,,s42003 -- polymetallic nodule coral/nitrite oxidizer paper, the recurring validation set. Shares BioProject PRJNA529480 with usual-06 (PNAS) -- reuses/reanalyzes that paper's own BioSamples, the real test case for cross-study entity merging in sampleMetadata.
usual-02,,10.1093/ismejo/wrae013,,,,,,,,wrae013 -- methanotroph/infauna coastal sediment paper, the recurring validation set
backup-36,,10.1093/pnasnexus/pgae081,,,,,,,,"backup filler for 50-paper pressure test, spread-sampled from data/seeds/mdp_all_imported_dois.txt"
backup-37,,10.1101/2020.06.24.169110,,,,,,,,"backup filler for 50-paper pressure test, spread-sampled from data/seeds/mdp_all_imported_dois.txt"
backup-38,,10.1101/2024.04.15.589529,,,,,,,,"backup filler for 50-paper pressure test, spread-sampled from data/seeds/mdp_all_imported_dois.txt"
backup-39,,10.1111/1462-2920.15185,,,,,,,,"backup filler for 50-paper pressure test, spread-sampled from data/seeds/mdp_all_imported_dois.txt"
backup-40,,10.1111/1755-0998.13375,,,,,,,,"backup filler for 50-paper pressure test, spread-sampled from data/seeds/mdp_all_imported_dois.txt"
backup-41,,10.1111/fwb.14107,,,,,,,,"backup filler for 50-paper pressure test, spread-sampled from data/seeds/mdp_all_imported_dois.txt"
backup-42,,10.1111/jeu.12975,,,,,,,,"backup filler for 50-paper pressure test, spread-sampled from data/seeds/mdp_all_imported_dois.txt"
backup-43,,10.1111/mec.15587,,,,,,,,"backup filler for 50-paper pressure test, spread-sampled from data/seeds/mdp_all_imported_dois.txt"
backup-44,,10.1128/aem.00057-14,,,,,,,,"backup filler for 50-paper pressure test, spread-sampled from data/seeds/mdp_all_imported_dois.txt"
backup-45,,10.1128/msphere.00073-24,,,,,,,,"backup filler for 50-paper pressure test, spread-sampled from data/seeds/mdp_all_imported_dois.txt"
backup-46,,10.1134/s1022795415110071,,,,,,,,"backup filler for 50-paper pressure test, spread-sampled from data/seeds/mdp_all_imported_dois.txt"
backup-47,,10.1186/s40168-020-00826-9,,,,,,,,"backup filler for 50-paper pressure test, spread-sampled from data/seeds/mdp_all_imported_dois.txt"
backup-48,,10.1264/jsme2.me17048,,,,,,,,"backup filler for 50-paper pressure test, spread-sampled from data/seeds/mdp_all_imported_dois.txt"
backup-49,,10.1371/journal.pone.0134416,,,,,,,,"backup filler for 50-paper pressure test, spread-sampled from data/seeds/mdp_all_imported_dois.txt"
backup-50,,10.1371/journal.pone.0286228,,,,,,,,"backup filler for 50-paper pressure test, spread-sampled from data/seeds/mdp_all_imported_dois.txt"
